GameID,posteam,InterceptionThrown,Fumble,Touchdown,FieldGoalResult,Penalty.Yards,Yards.Gained,ReturnResult,Sack,PosTeamScore,DefTeamScore,win
2009101107,MIN,1,1,4,1,61,410,0,2,36.0,10.0,1
2009101107,STL,1,3,2,1,65,550,1,2,10.0,37.0,0
2009101108,ATL,1,4,6,1,112,538,0,0,45.0,10.0,1
2009101108,SF,1,1,1,1,70,400,0,3,10.0,45.0,0
2009101109,ARI,0,1,3,0,53,542,0,1,27.0,21.0,1
2009101109,HOU,1,1,4,0,40,539,1,0,21.0,27.0,0
2009101110,DEN,1,1,2,2,41,486,0,2,17.0,17.0,0
2009101110,NE,0,3,2,1,25,413,0,1,17.0,17.0,0
2009101111,JAC,0,2,1,0,33,383,1,5,0.0,34.0,0
2009101111,SEA,1,2,4,2,50,430,0,1,34.0,0.0,1
2009101112,IND,1,0,4,1,92,459,0,0,31.0,9.0,1
2009101112,TEN,1,1,0,3,45,318,0,1,9.0,31.0,0
2009101200,MIA,0,0,4,1,34,560,0,0,30.0,27.0,1
2009101200,NYJ,0,0,4,2,134,427,0,1,27.0,31.0,0
2009101800,CIN,1,2,2,1,70,447,0,1,17.0,28.0,0
2009101800,HOU,1,3,4,0,35,560,0,2,28.0,17.0,1
2009101801,DET,3,0,0,0,60,306,0,5,0.0,26.0,0
2009101801,GB,1,3,2,4,110,587,0,5,26.0,0.0,1
2009101802,JAC,2,2,4,1,42,609,1,4,20.0,19.0,1
2009101802,STL,1,0,1,2,20,395,0,1,16.0,20.0,0
2009101803,BAL,0,2,5,1,40,659,0,4,31.0,33.0,0
2009101803,MIN,0,0,3,4,49,517,0,3,30.0,31.0,0
2009101804,NO,0,1,8,0,120,671,0,1,48.0,27.0,1
2009101804,NYG,2,1,3,2,45,629,0,2,27.0,48.0,0
2009101805,CLE,2,3,2,0,20,352,1,2,14.0,27.0,0
2009101805,PIT,1,3,4,2,55,653,0,3,27.0,14.0,1
2009101806,CAR,2,1,5,0,30,394,1,1,27.0,20.0,1
2009101806,TB,1,5,2,0,40,443,1,4,20.0,28.0,0
2009101807,KC,0,1,0,4,46,378,0,5,14.0,6.0,1
2009101807,WAS,1,4,0,2,47,400,0,3,6.0,12.0,0
2009101808,OAK,2,0,1,2,38,406,0,2,13.0,9.0,1
2009101808,PHI,1,2,0,3,8,341,0,6,9.0,13.0,0
2009101809,ARI,1,1,3,2,66,409,0,2,27.0,3.0,1
2009101809,SEA,1,1,0,1,66,254,0,5,3.0,27.0,0
2009101810,NE,0,0,8,1,65,647,0,2,59.0,0.0,1
2009101810,TEN,2,6,0,0,30,390,0,0,0.0,59.0,0
2009101811,BUF,2,1,1,3,83,455,0,2,13.0,13.0,0
2009101811,NYJ,6,1,1,2,77,518,0,2,13.0,13.0,0
2009101812,ATL,2,3,3,0,35,446,0,0,21.0,14.0,1
2009101812,CHI,2,2,2,0,100,480,0,2,14.0,21.0,0
2009101900,DEN,0,1,4,2,53,581,2,1,33.0,22.0,1
2009101900,SD,0,4,2,3,39,551,1,5,22.0,33.0,0
2009102500,CHI,3,3,1,1,30,435,0,1,10.0,45.0,0
2009102500,CIN,0,0,6,1,34,489,0,0,45.0,10.0,1
2009102501,CLE,1,3,0,1,65,221,0,2,3.0,31.0,0
2009102501,GB,0,0,4,1,45,521,0,0,31.0,3.0,1
2009102502,HOU,0,2,3,1,37,411,0,2,24.0,21.0,1
2009102502,SF,1,0,3,0,105,585,0,2,21.0,24.0,0
2009102503,KC,4,0,2,0,64,394,1,4,7.0,36.0,0
2009102503,SD,0,0,3,3,36,462,0,0,36.0,7.0,1
2009102504,MIN,1,1,4,1,55,625,3,5,17.0,25.0,0
2009102504,PIT,0,2,1,2,38,379,0,3,19.0,17.0,1
2009102505,IND,0,1,5,0,73,490,0,0,40.0,6.0,1
2009102505,STL,2,0,1,2,51,501,1,3,6.0,41.0,0
2009102506,NE,2,0,4,0,71,516,0,1,34.0,7.0,1
2009102506,TB,3,1,2,0,50,344,1,3,7.0,34.0,0
2009102507,BUF,0,0,2,2,35,245,0,2,20.0,9.0,1
2009102507,CAR,3,0,1,0,54,492,0,2,9.0,20.0,0
2009102508,NYJ,0,3,5,1,19,467,0,1,38.0,0.0,1
2009102508,OAK,2,2,0,0,13,349,0,3,0.0,38.0,0
2009102509,ATL,2,4,5,0,40,462,1,4,21.0,36.0,0
2009102509,DAL,0,3,3,3,40,446,0,2,36.0,21.0,1
2009102510,MIA,2,1,6,2,25,471,2,2,34.0,45.0,0
2009102510,NO,3,2,5,2,55,624,0,5,36.0,34.0,1
2009102511,ARI,1,2,3,1,40,404,0,2,24.0,17.0,1
2009102511,NYG,3,1,2,1,50,385,0,3,17.0,24.0,0
2009102600,PHI,0,1,2,2,47,337,0,3,26.0,17.0,1
2009102600,WAS,1,3,3,1,79,511,1,6,16.0,26.0,0
2009110100,BAL,0,1,3,3,65,418,1,3,29.0,7.0,1
2009110100,DEN,0,1,1,0,64,347,0,2,7.0,30.0,0
2009110101,BUF,2,0,1,1,56,492,0,2,10.0,31.0,0
2009110101,HOU,2,1,3,3,25,501,0,2,31.0,10.0,1
2009110102,CHI,1,1,2,3,35,388,0,5,29.0,6.0,1
2009110102,CLE,2,4,2,0,30,469,1,1,6.0,29.0,0
2009110103,DAL,0,3,4,1,66,422,0,2,37.0,17.0,1
